lat,lon,value
40.8567576327,-73.8916164801,0.0211221358321
40.8557429673,-73.8955402996,0.0202938167799
40.8578205012,-73.8923305205,0.115964667314
40.8467375117,-73.8985291009,0.0186371786754
40.8787739161,-73.8465775644,0.00649195057194
40.8883879766,-73.8440851853,0.0161108055661
40.8897436249,-73.8399082743,0.013874344125
40.890694993,-73.8391609215,0.0164234960083
40.8871883237,-73.8177048031,0.0202938167799
40.8782176838,-73.8514931607,0.0147854950825
40.8784664568,-73.8424631087,0.0186371786754
40.8711922915,-73.8379787427,0.0194240817751
40.8689402476,-73.8389459848,0.0234000132258
40.8696311964,-73.8364856639,0.00786903099629
40.884278847,-73.837870904,0.0196725774907
40.8909716574,-73.8407444187,0.0131702729306
40.8608581457,-73.8246024406,0.0111823072053
40.880565899,-73.8422809377,0.00269203691978
40.8917048756,-73.841024777,0.0197554093959
40.8762418155,-73.8538877607,0.0231929334627
40.86096196,-73.8242840303,0.00538407383957
40.8804200794,-73.8361192026,0.00472141859777
40.8804200794,-73.8361192026,0.004804250503
40.8804200794,-73.8361192026,0.00463858669255
40.8804200794,-73.8361192026,0.00600531312875
40.8804200794,-73.8361192026,0.00538407383957
40.8665518753,-73.8870920043,0.00401734740337
40.865933837,-73.8923318461,0.017187620334
40.8675519026,-73.8909408583,0.0164007172344
40.876541507,-73.8753916444,0.0198796572538
40.8766347522,-73.875322765,0.020500896543
40.8742414954,-73.880624555,0.27334528724
40.8761367104,-73.879308541,0.0338575412604
40.8787190142,-73.8815205531,0.00683363218099
40.8787190142,-73.8815205531,0.00289911668284
40.8787190142,-73.8815205531,0.00318902835113
40.8787190142,-73.8815205531,0.00242883854093
40.8787190142,-73.8815205531,0.00434867502427
40.8787190142,-73.8815205531,0.00277486882501
40.8787190142,-73.8815205531,0.00353029580065
40.8683320537,-73.883198613,0.00269203691978
40.8704752734,-73.8828151997,0.00742911074764
40.8704752734,-73.8828151997,0.00828319052241
40.8680650371,-73.8851551053,0.00496991431345
40.8715976722,-73.8826360493,0.00248495715672
40.8715976722,-73.8826360493,0.00724779170711
40.8715976722,-73.8826360493,0.00353029580065
40.8715976722,-73.8826360493,0.00227787739366
40.8751671862,-73.8867953301,0.00289911668284
40.8751671862,-73.8867953301,0.00476283455039
40.8751671862,-73.8867953301,0.00807611075935
40.8751671862,-73.8867953301,0.00289911668284
40.8751671862,-73.8867953301,0.00538407383957
40.8751671862,-73.8867953301,0.00443150692949
40.8751671862,-73.8867953301,0.00463858669255
40.8769451793,-73.8862173505,0.00616758083108
40.8769451793,-73.8862173505,0.00530124193434
40.8765160016,-73.8852019807,0.00393451549814
40.8765160016,-73.8852019807,0.00300265656437
40.8794367071,-73.8775342344,0.00683363218099
40.8794367071,-73.8775342344,0.00890442981159
40.8794367071,-73.8775342344,0.00517699407651
40.8794367071,-73.8775342344,0.0130046091202
40.8808982829,-73.8762730808,0.00476283455039
40.8810323103,-73.8758424946,0.00579823336569
40.873083639,-73.8758067148,0.00455575478733
40.873083639,-73.8758067148,0.00459717073994
40.873083639,-73.8758067148,0.00699929599144
40.8523868421,-73.8846941889,0.0372743573508
40.8551531715,-73.8899743299,0.0134601845989
40.8499756939,-73.8834043467,0.0265602160739
40.8529019427,-73.8837932243,0.0131205737875
40.8565299676,-73.8888839546,0.127561134045
40.853218557,-73.8875447949,0.0173947000971
40.8559246119,-73.8845398444,0.0127354054282
40.8685588108,-73.8646502003,0.0117588172656
40.8685588108,-73.8646502003,0.0172843679993
40.8684058827,-73.8540279084,0.00849027028547
40.8680988376,-73.8521557152,0.00986900734793
40.8687662891,-73.8483036065,0.0159969116964
40.8725084582,-73.8623533512,0.0167734608079
40.8733125784,-73.8600086115,0.0115964667314
40.8742958643,-73.8605742392,0.0124247857836
40.8672429283,-73.8659978544,0.0132531048359
40.8667877589,-73.8550184924,0.0250566513303
40.8660541266,-73.8459308187,0.0190513382015
40.8700811311,-73.8685448053,0.0206665603534
40.8700811311,-73.8685448053,0.00828319052241
40.8701221044,-73.8482535096,0.0234000132258
40.8701221044,-73.8482535096,0.00911150957465
40.8751758227,-73.8690156552,0.0227787739366
40.8741233591,-73.8609144956,0.0120106262575
40.8698815262,-73.8621382331,0.00223646144105
40.8577927717,-73.8706766458,0.00683363218099
40.8577927717,-73.8706766458,0.00370672775878
40.8577927717,-73.8706766458,0.00699929599144
40.8577927717,-73.8706766458,0.00724779170711
40.8577927717,-73.8706766458,0.0163571476522
40.8577927717,-73.8706766458,0.00383097561661
40.8577927717,-73.8706766458,0.00637805670226
40.8577927717,-73.8706766458,0.00973378426265
40.8577927717,-73.8706766458,0.00679221622838
40.8584677929,-73.8705198861,0.00600531312875
40.8584677929,-73.8705198861,0.00661271948976
40.8592346761,-73.8690723568,0.00973274886383
40.8592346761,-73.8690723568,0.00451433883471
40.8641930303,-73.8679129103,0.00828319052241
40.8641930303,-73.8679129103,0.00559115360263
40.8641930303,-73.8679129103,0.00637805670226
40.86616389,-73.8680572298,0.00443150692949
40.8685650477,-73.8629580876,0.0041415952612
40.8685650477,-73.8629580876,0.00323044430374
40.8685650477,-73.8629580876,0.00412295808253
40.8685650477,-73.8629580876,0.00269203691978
40.8685650477,-73.8629580876,0.00476283455039
40.8723972947,-73.8658464506,0.00252637310934
40.8639947591,-73.8649776402,0.0616295052758
40.812583454,-73.847308159,0.0189270903437
40.8173236937,-73.8515893075,0.017187620334
40.818259925,-73.8518076044,0.0207075621465
40.818259925,-73.8518076044,0.0110891213119
40.8214973449,-73.8528951465,0.0144955834142
40.8231999958,-73.8536212356,0.0153239024665
40.8231999958,-73.8536212356,0.0144955834142
40.8245458985,-73.8480214167,0.0193826658224
40.8258889963,-73.8446001856,0.017187620334
40.8277932621,-73.8525271157,0.0184300989124
40.8245993533,-73.8490149274,0.0248495715672
40.831271569,-73.8597284828,0.0198796572538
40.8320647724,-73.859712356,0.00327186025635
40.8320647724,-73.859712356,0.00385168359292
40.8320647724,-73.859712356,0.00567398550785
40.8320647724,-73.859712356,0.00579823336569
40.8437704478,-73.7875616229,0.0298609018333
40.8445171394,-73.7891278434,0.0082417745698
40.849405981,-73.7864194952,0.0172248946914
