lat,lon
40.8488095717,-73.8983090687
40.8567576327,-73.8916164801
40.8557429673,-73.8955402996
40.857820501199996,-73.8923305205
40.848561841599995,-73.8975106409
40.8466744153,-73.8985653412
40.846627777600006,-73.8985907132
40.8487903078,-73.8982512658
40.8487380085,-73.8980814634
40.8467375117,-73.8985291009
40.8787739161,-73.8465775644
40.8703532427,-73.8405443164
40.8883879766,-73.8440851853
40.8876696338,-73.8328644388
40.8897436249,-73.8399082743
40.890694993000004,-73.8391609215
40.8871883237,-73.8177048031
40.8782176838,-73.8514931607
40.8784664568,-73.8424631087
40.8703061047,-73.84219318609999
40.8711922915,-73.8379787427
40.8684444817,-73.8416697274
40.8686477635,-73.8398072071
40.8689402476,-73.83894598479999
40.8696311964,-73.8364856639
40.884278847,-73.837870904
40.890971657399994,-73.8407444187
40.8608581457,-73.8246024406
40.8879672067,-73.8173193016
40.880565899000004,-73.84228093770001
40.8917048756,-73.841024777
40.8917048756,-73.841024777
40.8762418155,-73.85388776069999
40.86096196,-73.82428403029999
40.880420079400004,-73.8361192026
40.880420079400004,-73.8361192026
40.880420079400004,-73.8361192026
40.880420079400004,-73.8361192026
40.880420079400004,-73.8361192026
40.880420079400004,-73.8361192026
40.866551875300004,-73.8870920043
40.867021691,-73.8875756854
40.865933837,-73.89233184609999
40.8675519026,-73.8909408583
40.876541507,-73.8753916444
40.8766347522,-73.875322765
40.8742414954,-73.880624555
40.8761367104,-73.879308541
40.8787190142,-73.8815205531
40.8787190142,-73.8815205531
40.8787190142,-73.8815205531
40.8787190142,-73.8815205531
40.8787190142,-73.8815205531
40.8787190142,-73.8815205531
40.8787190142,-73.8815205531
40.8683320537,-73.883198613
40.870475273400004,-73.8828151997
40.870475273400004,-73.8828151997
40.8680650371,-73.8851551053
40.8649718765,-73.8909306279
40.8649718765,-73.8909306279
40.8715976722,-73.8826360493
40.8715976722,-73.8826360493
40.8715976722,-73.8826360493
40.8715976722,-73.8826360493
40.8715976722,-73.8826360493
40.8751671862,-73.8867953301
40.8751671862,-73.8867953301
40.8751671862,-73.8867953301
40.8751671862,-73.8867953301
40.8751671862,-73.8867953301
40.8751671862,-73.8867953301
40.8751671862,-73.8867953301
40.8769451793,-73.8862173505
40.8769451793,-73.8862173505
40.876516001599995,-73.8852019807
40.876516001599995,-73.8852019807
40.8794367071,-73.8775342344
40.8794367071,-73.8775342344
40.8794367071,-73.8775342344
40.8794367071,-73.8775342344
40.8808982829,-73.8762730808
40.8808982829,-73.8762730808
40.8810323103,-73.8758424946
40.8810323103,-73.8758424946
40.873083639,-73.87580671479999
40.873083639,-73.87580671479999
40.873083639,-73.87580671479999
40.8523868421,-73.8846941889
40.8592538184,-73.8844219968
40.8580448034,-73.8858267276
40.8551531715,-73.8899743299
40.8499756939,-73.8834043467
40.8529019427,-73.8837932243
40.856529967600004,-73.8888839546
40.853218557,-73.8875447949
40.8529803351,-73.8853329708
40.8529803351,-73.8853329708
40.8559246119,-73.8845398444
40.868558810799996,-73.86465020029999
40.868558810799996,-73.86465020029999
40.8683109993,-73.85496455319999
40.8684058827,-73.8540279084
40.8684058827,-73.8540279084
40.8680988376,-73.8521557152
40.8687662891,-73.8483036065
40.8725084582,-73.8623533512
40.873312578400004,-73.86000861149999
40.874295864299995,-73.8605742392
40.8672429283,-73.86599785439999
40.866787758899996,-73.85501849239999
40.8660541266,-73.8459308187
40.8660541266,-73.8459308187
40.8700811311,-73.86854480529999
40.8700811311,-73.86854480529999
40.8691779875,-73.8636944133
40.870122104400004,-73.8482535096
40.870122104400004,-73.8482535096
40.8735438569,-73.870013234
40.8751758227,-73.8690156552
40.8741233591,-73.8609144956
40.8700996049,-73.8678975618
40.8720340549,-73.8581744833
40.8698815262,-73.8621382331
40.8698815262,-73.8621382331
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8577927717,-73.8706766458
40.8584677929,-73.8705198861
40.8584677929,-73.8705198861
40.8592346761,-73.8690723568
40.8592346761,-73.8690723568
40.8641930303,-73.86791291029999
40.8641930303,-73.86791291029999
40.8641930303,-73.86791291029999
40.86616389,-73.8680572298
40.8685650477,-73.8629580876
40.8685650477,-73.8629580876
40.8685650477,-73.8629580876
40.8685650477,-73.8629580876
40.8685650477,-73.8629580876
40.8723972947,-73.8658464506
