Lat,Long,B,Block,Lot,TaxClass,2010,2011,2012,2013,2014,2015,2016,Change,Percent_Change
40.7107057401,-73.9877144515,1.0,246.0,1037.0,1A,311524.0,311524.0,312454.0,374945.0,449934.0,482520.0,564010,252486.0,81.0486511473
40.7107057401,-73.9877144515,1.0,246.0,1038.0,1A,502094.0,502094.0,503261.0,603913.0,724696.0,777183.0,908768,406674.0,80.9955904671
40.7107057401,-73.9877144515,1.0,246.0,1039.0,1A,311524.0,311524.0,312454.0,374945.0,449934.0,482520.0,564010,252486.0,81.0486511473
40.7107057401,-73.9877144515,1.0,246.0,1040.0,1A,313254.0,313254.0,313098.0,375718.0,450861.0,483515.0,566261,253007.0,80.7673645029
40.7107057401,-73.9877144515,1.0,246.0,1041.0,1A,333854.0,333854.0,336215.0,403458.0,484149.0,519214.0,605541,271687.0,81.3789860238
40.7107057401,-73.9877144515,1.0,246.0,1042.0,1A,312393.0,312393.0,312757.0,375309.0,450370.0,482989.0,565124,252731.0,80.9016207149
40.7107057401,-73.9877144515,1.0,246.0,1043.0,1A,333854.0,333854.0,336215.0,403458.0,484149.0,519214.0,605541,271687.0,81.3789860238
40.7107057401,-73.9877144515,1.0,246.0,1044.0,1A,313254.0,313254.0,313098.0,375718.0,450861.0,483515.0,566261,253007.0,80.7673645029
40.7107057401,-73.9877144515,1.0,246.0,1045.0,1A,333854.0,333854.0,336215.0,403458.0,484149.0,519214.0,605541,271687.0,81.3789860238
40.7107057401,-73.9877144515,1.0,246.0,1046.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1047.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1048.0,1A,376325.0,376325.0,375703.0,450843.0,541012.0,580195.0,679922,303597.0,80.674151332
40.7107057401,-73.9877144515,1.0,246.0,1049.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1050.0,1A,376325.0,376325.0,375703.0,450843.0,541012.0,580195.0,679922,303597.0,80.674151332
40.7107057401,-73.9877144515,1.0,246.0,1051.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1052.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1053.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1054.0,1A,376325.0,376325.0,375703.0,450843.0,541012.0,580195.0,679922,303597.0,80.674151332
40.7107057401,-73.9877144515,1.0,246.0,1055.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1056.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.7107057401,-73.9877144515,1.0,246.0,1057.0,1A,377186.0,377186.0,376044.0,451252.0,541503.0,580722.0,681057,303871.0,80.5626401828
40.8209906113,-73.9065097596,2.0,2637.0,1001.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1002.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1003.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1004.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1005.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1006.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1007.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1008.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1009.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1010.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1011.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1012.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1013.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1014.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1015.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1016.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1017.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1018.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1019.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1020.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1021.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1022.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1023.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1024.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1025.0,1A,112381.0,113392.0,119861.0,126660.0,151992.0,182390.0,186436,74055.0,65.8963703829
40.8209906113,-73.9065097596,2.0,2637.0,1026.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
40.8209906113,-73.9065097596,2.0,2637.0,1027.0,1A,122285.0,123385.0,130445.0,137844.0,165413.0,198496.0,202880,80595.0,65.907511142
