Lat,Long,B,Block,Lot,TaxClass,2010,2011,2012,2013,2014,2015,2016,Change,Percent_Change
40.7065095501,-73.9641195109,3.0,2168.0,1064.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1065.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1068.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1069.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1070.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1071.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1073.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1074.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1075.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1076.0,1A,565983.0,565983.0,555074.0,551065.0,189983.0,189985.0,189637,-376346.0,-66.4942233247
40.7065095501,-73.9641195109,3.0,2168.0,1082.0,1A,550307.0,550307.0,539666.0,535769.0,184716.0,184711.0,184378,-365929.0,-66.4954289151
40.7065095501,-73.9641195109,3.0,2168.0,1083.0,1A,550307.0,550307.0,539666.0,535769.0,184716.0,184711.0,184378,-365929.0,-66.4954289151
40.7065095501,-73.9641195109,3.0,2168.0,1084.0,1A,549811.0,549811.0,536961.0,533083.0,183783.0,183785.0,183775,-366036.0,-66.5748775488
40.7065095501,-73.9641195109,3.0,2168.0,1085.0,1A,549811.0,549811.0,536961.0,533083.0,183783.0,183785.0,183775,-366036.0,-66.5748775488
40.7065095501,-73.9641195109,3.0,2168.0,1086.0,1A,546606.0,546606.0,534099.0,530242.0,182800.0,182806.0,182757,-363849.0,-66.5651310084
40.7065095501,-73.9641195109,3.0,2168.0,1087.0,1A,550150.0,550150.0,550448.0,546473.0,188400.0,188402.0,186478,-363672.0,-66.1041534127
40.7065095501,-73.9641195109,3.0,2168.0,1088.0,1A,550150.0,550150.0,550448.0,546473.0,188400.0,188402.0,186478,-363672.0,-66.1041534127
40.7023580199,-73.9525446236,3.0,2237.0,41.0,1B,380000.0,437000.0,437000.0,437000.0,438504.0,112000.0,112000,-268000.0,-70.5263157895
40.6579739623,-73.9500172288,3.0,4814.0,63.0,1B,86000.0,299000.0,15000.0,12000.0,12300.0,12000.0,13000,-73000.0,-84.8837209302
40.6564097034,-73.9767031264,3.0,5256.0,1001.0,1A,636373.0,636373.0,624075.0,730171.0,108016.0,124782.0,124791,-511582.0,-80.3902742574
40.6564097034,-73.9767031264,3.0,5256.0,1002.0,1A,598960.0,598960.0,587384.0,687242.0,101665.0,117446.0,117455,-481505.0,-80.3901763056
40.6564097034,-73.9767031264,3.0,5256.0,1003.0,1A,636373.0,636373.0,624075.0,730171.0,108016.0,124782.0,124791,-511582.0,-80.3902742574
40.6564097034,-73.9767031264,3.0,5256.0,1004.0,1A,573966.0,573966.0,562896.0,658591.0,97427.0,112550.0,112535,-461431.0,-80.3934379388
40.6564097034,-73.9767031264,3.0,5256.0,1005.0,1A,611418.0,611418.0,599628.0,701568.0,103784.0,119894.0,119876,-491542.0,-80.3937731634
40.6564097034,-73.9767031264,3.0,5256.0,1006.0,1A,648870.0,648870.0,636319.0,744496.0,110135.0,127230.0,127251,-521619.0,-80.3888298118
40.6564097034,-73.9767031264,3.0,5256.0,1007.0,1A,623916.0,623916.0,611872.0,715894.0,105904.0,122342.0,122337,-501579.0,-80.3920720097
40.6564097034,-73.9767031264,3.0,5256.0,1008.0,1A,611418.0,611418.0,599628.0,701568.0,103784.0,119894.0,119876,-491542.0,-80.3937731634
40.6564097034,-73.9767031264,3.0,5256.0,1009.0,1A,648870.0,648870.0,636319.0,744496.0,110135.0,127230.0,127251,-521619.0,-80.3888298118
40.6564097034,-73.9767031264,3.0,5256.0,1010.0,1A,648870.0,648870.0,636319.0,744496.0,110135.0,127230.0,127251,-521619.0,-80.3888298118
40.6564097034,-73.9767031264,3.0,5256.0,1011.0,1A,361827.0,361827.0,354829.0,415152.0,61414.0,70947.0,70957,-290870.0,-80.3892467947
40.6564097034,-73.9767031264,3.0,5256.0,1012.0,1A,374285.0,374285.0,367074.0,429478.0,63534.0,73395.0,73378,-300907.0,-80.3951534259
40.6564097034,-73.9767031264,3.0,5256.0,1013.0,1A,474186.0,474186.0,465026.0,544083.0,80487.0,92981.0,92983,-381203.0,-80.3910279932
40.6564097034,-73.9767031264,3.0,5256.0,1014.0,1A,486683.0,486683.0,477270.0,558409.0,82607.0,95429.0,95444,-391239.0,-80.3888773596
40.6564097034,-73.9767031264,3.0,5256.0,1015.0,1A,311917.0,311917.0,305895.0,357898.0,52945.0,61163.0,61162,-250755.0,-80.3915785289
40.6564097034,-73.9767031264,3.0,5256.0,1016.0,1A,536512.0,536512.0,526164.0,615614.0,91069.0,105205.0,105193,-431319.0,-80.3931692115
40.6564097034,-73.9767031264,3.0,5256.0,1017.0,1A,561508.0,561508.0,550652.0,644265.0,95307.0,110102.0,110114,-451394.0,-80.3895937369
40.6564097034,-73.9767031264,3.0,5256.0,1018.0,1A,311917.0,311917.0,305895.0,357898.0,52945.0,61163.0,61162,-250755.0,-80.3915785289
40.6564097034,-73.9767031264,3.0,5256.0,1019.0,1A,324415.0,324415.0,318139.0,372224.0,55064.0,63611.0,63623,-260792.0,-80.3883914122
40.6564097034,-73.9767031264,3.0,5256.0,1020.0,1A,786143.0,786143.0,770962.0,902030.0,133439.0,154152.0,154151,-631992.0,-80.3914809392
40.6564097034,-73.9767031264,3.0,5256.0,1021.0,1A,474186.0,474186.0,465026.0,544083.0,80487.0,92981.0,92983,-381203.0,-80.3910279932
40.6564097034,-73.9767031264,3.0,5256.0,1022.0,1A,486683.0,486683.0,477270.0,558409.0,82607.0,95429.0,95444,-391239.0,-80.3888773596
40.6564097034,-73.9767031264,3.0,5256.0,1023.0,1A,499101.0,499101.0,489473.0,572686.0,84719.0,97869.0,97857,-401244.0,-80.3933472383
40.6564097034,-73.9767031264,3.0,5256.0,1024.0,1A,324415.0,324415.0,318139.0,372224.0,55064.0,63611.0,63623,-260792.0,-80.3883914122
40.6564097034,-73.9767031264,3.0,5256.0,1025.0,1A,524055.0,524055.0,513920.0,601289.0,88950.0,102757.0,102772,-421283.0,-80.3890812987
40.6564097034,-73.9767031264,3.0,5256.0,1026.0,1A,573966.0,573966.0,562896.0,658591.0,97427.0,112550.0,112535,-461431.0,-80.3934379388
40.6564097034,-73.9767031264,3.0,5256.0,1027.0,1A,311917.0,311917.0,305895.0,357898.0,52945.0,61163.0,61162,-250755.0,-80.3915785289
40.6564097034,-73.9767031264,3.0,5256.0,1028.0,1A,336873.0,336873.0,330383.0,386550.0,57183.0,66059.0,66043,-270830.0,-80.3952824952
40.6564097034,-73.9767031264,3.0,5256.0,1029.0,1A,811138.0,811138.0,795492.0,930730.0,137685.0,159057.0,159038,-652100.0,-80.3932253205
